StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,cat_1,cat_2,cat_3,logo_1,logo_2,logo_3
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Regarding the cat button, please rate your agreement on the following statements. - I want to have this button.","Regarding the cat button, please rate your agreement on the following statements. - I want to wear this button during the conference.","Regarding the cat button, please rate your agreement on the following statements. - Having this button will make me want to talk about my experience in this tutorial.","Regarding the logo button, please rate your agreement on the following statements. - I want to have this button.","Regarding the logo button, please rate your agreement on the following statements. - I want to wear this button during the conference.","Regarding the logo button, please rate your agreement on the following statements. - Having this button will make me want to talk about my experience in this tutorial."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID2_2""}","{""ImportId"":""QID2_3""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID3_3""}"
2023-09-30 16:01:21,2023-09-30 16:01:31,Survey Preview,,100,10,True,2023-09-30 16:01:32,R_3JbbeGZoSDHChYm,,,,,42.055,-87.6951,preview,EN,,,,,,
2023-09-30 16:31:01,2023-09-30 16:32:19,IP Address,24.13.82.129,100,78,True,2023-09-30 16:32:20,R_YSsAkhpHYV03J29,,,,,42.055,-87.6951,anonymous,EN,5,5,5,3,4,4
2023-09-30 16:41:27,2023-09-30 16:42:07,IP Address,172.56.193.91,100,39,True,2023-09-30 16:42:07,R_cDeyR5M2tc9sUtH,,,,,42.3562,-71.0631,anonymous,EN,5,4,5,4,5,4
2023-09-30 16:32:22,2023-09-30 16:43:13,IP Address,24.13.82.129,100,650,True,2023-09-30 16:43:14,R_3ERMySZd8lw9VN2,,,,,42.055,-87.6951,anonymous,EN,5,5,5,3,4,4
2023-09-30 16:42:38,2023-09-30 16:43:13,IP Address,104.28.39.32,100,34,True,2023-09-30 16:43:14,R_3qW4ett4izNi6Xo,,,,,42.3562,-71.0631,anonymous,EN,3,1,3,1,3,1
2023-09-30 16:53:08,2023-09-30 16:53:58,IP Address,172.59.186.181,100,49,True,2023-09-30 16:53:59,R_3gO7gRkMgnnmPZI,,,,,41.8502,-87.6736,anonymous,EN,2,2,1,1,2,4
2023-09-30 19:02:29,2023-09-30 19:04:26,IP Address,165.124.167.4,100,117,True,2023-09-30 19:04:27,R_ZEPzl00SPYgtZC1,,,,,41.871,-87.6289,anonymous,EN,5,4,3,4,4,3
2023-09-30 21:01:43,2023-09-30 21:03:03,IP Address,67.175.201.189,100,80,True,2023-09-30 21:03:04,R_1hRVu4AaAQ9CkR4,,,,,41.8482,-87.6521,anonymous,EN,5,4,4,3,4,4
2023-10-01 14:24:23,2023-10-01 14:26:11,IP Address,76.16.131.195,100,107,True,2023-10-01 14:26:12,R_6KZv9HV9clxGhnb,,,,,41.8482,-87.6521,anonymous,EN,5,5,1,4,3,5
2023-09-30 16:26:52,2023-09-30 17:34:34,IP Address,24.13.82.129,33,4061,False,2023-10-07 17:34:39,R_UPV3x8ctQK616hP,,,,,,,anonymous,EN,,,,,,
2023-10-02 10:44:38,2023-10-02 10:45:29,IP Address,165.124.85.65,33,50,False,2023-10-09 10:45:31,R_1nQ2EnYrgdgVSFY,,,,,,,anonymous,EN,,,,,,
2023-10-09 12:05:32,2023-10-09 12:07:41,IP Address,165.124.85.65,100,129,True,2023-10-09 12:07:42,R_3nkm0r2kSivM9Sl,,,,,42.055,-87.6951,anonymous,EN,4,3,3,4,4,4
2023-10-09 12:25:10,2023-10-09 12:25:40,IP Address,38.34.85.135,100,29,True,2023-10-09 12:25:40,R_31GhtT9OzsZwsZP,,,,,49.2643,-123.0961,anonymous,EN,5,5,4,5,5,4
2023-10-09 12:31:52,2023-10-09 12:32:26,IP Address,136.55.8.172,100,34,True,2023-10-09 12:32:27,R_2zkxWNBX0NxxqSy,,,,,33.7855,-84.3612,anonymous,EN,5,5,5,3,3,3
2023-10-09 20:01:07,2023-10-09 20:01:44,IP Address,162.254.168.225,100,36,True,2023-10-09 20:01:44,R_2zOnOWsw01PR8Sv,,,,,41.8482,-87.6521,anonymous,EN,5,5,5,4,3,4
